Nama Perguruan Tinggi,Jumlah Mahasiswa,Jumlah Dosen,Jumlah Program Studi,Fasilitas Olahraga,Wisma/Asrama/Hotel,Teknologi Informasi,Public Area,PERS Mahasiswa,Asuransi,Gedung Pertemuan,Laboratorium,Poliklinik,Bus Kampus,Kalender Pendidikan,Pusat Pelatihan Bahasa,Perpustakaan,Sarana Ibadah,Free Hotspot,Jumlah Fasilitas,Bus Umum,Restaurant,Tempat Ibadah,Kos/Asrama,Terminal Bus,Café,Tempat Olahraga,Bandara,Mall,Rumah Sakit,Stasiun Kereta,Supermarket,Apotek,Jumlah Tempat Umum Terdekat,Akreditasi,Ranking Nasional
Akademi Manajemen Administrasi Yogyakarta,0.003371369,0.032370954,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.168808912
Akademi Analis Farmasi Al-Islam,0.000432227,0.005249344,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.189088832
Institut Pertanian Stiper,0.00832757,0.062117235,0.073529412,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.184233076
Akademi Peternakan Brahma Putra,0.000893269,0.006999125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.207654956
Akademi Pariwisata Dharma Nusantara Sakti,0.000633933,0.005249344,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.208797486
Akademi Perikanan Yogyakarta,0.000979714,0.006124234,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.226792345
Sekolah Tinggi Ilmu Ekonomi Mitra Indonesia,0.002132319,0.010498688,0.029411765,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.244501571
Akademi Teknik YKPN,0.004005302,0.014873141,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.273921737
Akademi Bahasa Asing Sinema Yogyakarta,0.001786538,0.006999125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.277920594
Sekolah Tinggi Ilmu Kesehatan Madani Yogyakarta,0.006857999,0.022747157,0.029411765,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.29562982
Akademi Ketatalaksanaan Pelayaran Niaga Bahtera,0.001440756,0.005249344,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.298200514
STMIK Pelita Nusantara Yogyakarta,0.002593361,0.009623797,0.014705882,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.294201657
STIKES Al-Islam Yogyakarta,0.002535731,0.007874016,0.014705882,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.319337332
Akademi Pariwisata Yogyakarta,0.002132319,0.006999125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.321908026
Akademi Kesejahteraan Sosial AKK,0.005273167,0.016622922,0.029411765,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.32019423
Akademi Maritim Ganesha Yogyakarta,0.001267865,0.004374453,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.322193659
Sekolah Tinggi Ilmu Ekonomi Pariwisata Api,0.001786538,0.005249344,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.342759212
Politeknik Mekatronika Sanata Dharma,0.005446058,0.01399825,0.029411765,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.376178235
Akademi Komunikasi Indonesia YPK,0.011670124,0.018372703,0.029411765,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.632105113
Sekolah Tinggi Ilmu Ekonomi Bisnis Dan Perbankan,0.00815468,0.020122485,0.014705882,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.365324193
STAI Alma Ata Yogyakarta,0.006454587,0.016622922,0.044117647,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.376463867
Akademi Manajemen Putra Jaya,0.001671277,0.004374453,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.370179949
Politeknik Kesehatan Bhakti Setya Indonesia,0.009710696,0.021872266,0.029411765,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.404741502
Akademi Pariwisata Indraprasta,0.002795067,0.006124234,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.424164524
AMIK Wira Setya Mulya,0.003515445,0.007874016,0.014705882,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.42473579
ASM Marsudirini Santa Maria,0.011497234,0.025371829,0.029411765,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.423593259
Sekolah Tinggi Teknologi Kedirgantaraan,0.01648225,0.036745407,0.058823529,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.4204513
Akademi Fisioterapi YAB Yogyakarta,0.002650991,0.005249344,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.450728363
